Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement
Male,40,1980-06-03,Married,Straight,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Management,High,Upper-middle class,Full-time,Own,Caucasian,English,Christianity,Western,N/A,"Reading, Travelling, Golfing",Online shopping,Non-vegetarian,Moderate,High,Frequent,"Social drinker, non-smoker",High,Married with 2 kids,4,1 dog,Married,Parenting,Good,None,Good,Insured,Good,Democratic,Active,Moderate
Male,45,01-01-1976,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Apartment,20 years,Master's Degree,Business,Business Owner,High,Upper-middle,Full-time,Owns,Caucasian,English,Christian,Western,Citizen,"Reading, Travelling",Online,Non-Vegetarian,Moderate,High,Frequently for work,"Occasional alcohol, no tobacco",High,Married with two kids,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democratic,Regular,Moderate
Male,45,01-07-1976,Married,Straight,American,United States,California,San Francisco,Urban,Townhouse,15 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owner,White,English,Christian,Western,US Born,"Reading, Surfing, Traveling",Online,Non-Vegetarian,Active,High,Travel 4 times a year,"Alcohol: Social drinker, Tobacco: Non-smoker",High,Spouse and 2 children,4,Dog,Married,Children,Good,None,Healthy,Insured,Easy,Democrat,Active,Occasionally attends local meetings
Male,42,1979-02-04,Married,Heterosexual,American,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Marketing,Business Owner,High,Upper-middle class,Full-time,Owned,White,English,Christianity,Western,Native Born,"Traveling, Reading, Golfing",Online Shopping,No Specific Restrictions,High,High,Regularly for Business,"Occasional Alcohol, No Tobacco",High,Married with two children,4,One dog,Married,Two Children,Good,None,Good,Insured,Full Access,Democratic Party,Always Votes,Active
Male,45,1976-04-18,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached house,10 years,Master's Degree,Business,Business Owner,High,Upper middle class,Full-time,Own,Caucasian,English,Christian,Western,Citizen,"Hiking, Golf",Online shopping,Non-vegetarian,Moderate,High,Frequent,"Moderate alcohol, Non-smoker",High,Parents and 2 children,4,Dog,Married,Children,Good,None,Stable,Insured,Full,Conservative,Regular voter,Active
Male,45,1976-07-16,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Private property,10 years,Master's Degree,Business,Management,High,Upper-middle class,Full-time,Own,Caucasian,['English'],Christianity,Western culture,Citizen,"['Golf', 'Reading', 'Traveling']",Online Shopping,No specific diet,Moderate,High,Frequent,"Doesn't use tobacco, occasional alcohol",High,Married with two kids,4,Has a dog,Married,None,Good,None,Good,Insured,Easy access,Republican,Always votes,Moderate
Male,45,01/01/1977,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached House,5 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Own,White,English,Christianity,Western,Citizen,"Traveling, Reading and Golf",Online,Non-Vegetarian,Active,High,Often for Business and Occasionally for Leisure,"Alcohol: moderate, Tobacco: No",High,Married with two children,4,Dog,Married,Children,Good,None,Good,Covered,High,Democrat,Regular,High
Female,40,1981-05-12,Married,Heterosexual,American,USA,California,San Francisco,Urban,Detached Single-Family House,10 years,Master's Degree,Marketing,Management,High,Upper Middle,Full-time,Own,Caucasian,['English'],Christianity,Western Culture,Citizen,"['Reading', 'Gardening']",['Online Shopping'],Non-Vegetarian,Active,High,Frequent,Occasional Alcohol Consumption,High,Nuclear Family,3,Dog,Married,Parenting,Good,None,Good,Insured,Accessible,Democrat,Regular,Active
Male,45,12/12/1975,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Management,High,Upper Middle,Full-time,Own,Caucasian,English,Christianity,Western,Native Born,"Reading, Traveling",Online,Balanced,Moderate,High,Frequent,"Occasional alcohol, non-smoker",High,Married with two children,4,Dog,Married,Children,Healthy,None,Healthy,Insured,Regular,Independent,Regular Voter,Moderately Engaged
Male,45,1976-05-12,Married,Straight,American,United States,California,Los Angeles,Urban,Detached House,15 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owner,Caucasian,"English, Spanish",Christian,Western,N/A,"Golf, Traveling, Reading",Online,No special diet,Active,High,International and Domestic,"Occasional drinker, Non-smoker",High,Married with two children,4,One dog,Married,Parenting,Healthy,None,Stable,Insured,High,Democrat,Regular voter,Moderately engaged
Male,45,1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper-middle class,Full-time,Renter,Caucasian,English,Christian,Traditional American Holidays,Non-immigrant,"Soccer, Reading",Online shopping,Non-Vegetarian,Moderate,Moderate to High,Frequent Business Travel,"Occasional Alcohol, Non-smoker",High,Married with Children,Four-person Household,Dog,Married,Children,Good,None,Good,Insured,Good,Democratic,Frequent Voter,Active
Male,45,1975-10-24,Married,Heterosexual,American,United States,New York,New York,Urban,House,15 years,Master's Degree,Marketing,Business Owner,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christianity,Western,Non-immigrant,"Reading, Traveling, Golfing",Online,Non-vegetarian,Moderate,High,"International, Business","Occasional Alcohol, Non-smoker",High,Married with 2 kids,4,Dog,Married,Shared parenting,Good,None,Mental Well-being,Insured,Regular,Democrat,Regular Voter,Moderate
Male,45,05/05/1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached Single Family,10 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Owner,Caucasian,English,Agnostic,Mainstream American,Citizen,"Traveling, Reading, Golfing","Online, High-end Brands",Balanced,Moderate,Moderate to High,Frequent,"Moderate Alcohol, Non-smoker",High,"Spouse, 2 kids",4,Dog,Married,Parenting,Good,None,Good,Insured,Excellent,Democrat,Regular,Active
Female,50,1971-01-01,Married,Heterosexual,American,USA,California,Los Angeles,Urban,House,20 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Asian,"English, Mandarin",Christianity,Celebrates both Western and Asian holidays,Citizen,"Running, Reading","Online, High-end brands",Balanced,Moderate,High,Business trips monthly,"Occasionally drinks alcohol, Non-smoker",High,Married with two children,4,One dog,Married,Children,Good,None,Good,Insured,Good,Democratic,Regular voter,Active
Female,45,1976-04-21,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,15 years,Master's Degree,Marketing,Management,High,Upper Middle-Class,Full-time,Own,Caucasian,English,Christian,Western Cultural Practices,N/A,"Reading, Tennis, Yoga",Online Shopping,"Healthy, Vegetarian",High,High,Frequent,"Occasional Alcohol, Non-smoker",High,Married with 2 Children,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democratic,Regular Voter,Moderately Engaged
Male,45,01/01/1976,Married,Straight,American,United States,California,Los Angeles,Urban,Single Family Home,15 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owner,Caucasian,English,Christianity,Traditional American culture,Native born,"Playing golf, Reading, Travelling",Online Shopping,Non-vegetarian,Active,High,Frequent international travel,Occasional,High,Married with two kids,4,Dog,Married,Children,Good,None,Excellent,Insured,Full Access,Democrats,Regular Voter,Involved
Male,50,1971-01-01,Married,Heterosexual,American,USA,California,San Francisco,Urban,Detached house,15 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Owner,Caucasian,English,Christianity,Celebrates major US holidays,Citizen,"Reading, Golf, Cooking","Online shopping, High-end brands",No specific diet,Active,High,Frequent business traveller,"Occasional Alcohol, Non-smoker",High,Married with two children,4,One dog,Married,Parenting,Good,None,Good,Insured,Good access,Democrat,Regular voter,Occasionally involved
Male,45,01/01/1976,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Mortgage,Caucasian,English,Christianity,Western,Citizen,"Reading, Traveling",Online Shopping,Non-Vegetarian,High,High,Frequent,"Occasional Alcohol, Non-Smoker",High,Married with 2 children,4,Dog,Married,"Yes, for children",Healthy,None,Excellent,Insured,Excellent,Democrat,Always votes,Moderately Engaged
Male,45,1976-01-25,Married,Heterosexual,American,United States,Texas,Austin,Urban,House,10 years,Master's Degree,Business,Management,High,Upper Middle,Full-time,Own,Caucasian,English,Christian,Western Culture,Citizen,"Reading, Tennis, Traveling",Online,Non-vegetarian,Moderate,High,Occasional,"Social Drinker, Non-smoker",High,Nuclear Family (Spouse and 2 children),4,Dog,Married,Two children,Good,None,Good,Insured,Good,Democrat,Regularly votes,High
Male,45,06-07-1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Single Family,15 years,Master's Degree,Business,Business Owner,High,Upper middle,Full-time,Own,Caucasian,English,Christianity,Traditional American,Native Born,"Reading, Golfing","Online, Luxury brands",Healthy Eating,Moderate,High,Occasional Leisure,"Social Drinker, Non-smoker",High,"Spouse, Two children",4,Dog,Married,Children,Good,None,Good,Full Coverage,Good,Democratic,Regular Voter,Moderate
Male,45,1976-08-17,Married,Heterosexual,American,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Own,White,English,Christianity,Western,N/A,"Traveling, Golf",Online,Balanced,Moderate,High,Frequent,"Occasional Alcohol, No Tobacco",High,Married with 2 kids,4,1 Dog,Married,Parenting,Good,None,Good,Covered,Easy,Democratic,Regular Voter,Active
Male,45,04/03/1976,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached House,10 years,Master's Degree,Business,Business Owner,High,Upper middle class,Full-time,Own,Caucasian,English,Christian,Western,Citizen,"Reading, Golfing, Traveling","Online, Brand-conscious, Luxury",Non-vegetarian,Moderate,High,Frequent,"Occasional Alcohol, Non-smoker",High,"Spouse, 2 Children",4,Dog,Married,Children,Good,None,Good,Private,Adequate,Democrat,Regular voter,Moderately engaged
Male,45,11/05/1976,Married,Heterosexual,American,USA,New York,New York,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper Middle,Full-time,Own,Caucasian,English,Christian,American Culture,Citizen,"Reading, golfing",Online shopping,Non-vegetarian,Medium,High,"Frequent domestic, occasional international","Social alcohol use, non-smoker",High,Married with two kids,4,One dog,Married,Children,Good,None,Stable,Insured,Good,Democratic,Regular,Active
Male,45,01-01-1976,Married,Heterosexual,American,United States,New York,New York City,Urban,Apartment,15 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Rents,White,English,Christian,American Traditional,Natural Born,"Reading, Golf",Online,Non-Vegetarian,Moderate,High,Travel Occasionally for Work,"Occasional Alcohol, No Tobacco",High,Married with Kids,4,Dog,Married,Parents and Children,Excellent,None,Good,Insured,Excellent,Democrat,Regular Voter,Moderately Engaged
Male,45,1976-03-10,Married,Heterosexual,American,United States,New York,New York City,Urban,House,10 years,Master's Degree,Marketing,Management,High,Upper Middle,Full-time,Own,Caucasian,English,Christianity,Western,Citizen,"Reading, Travelling",Online,Non-Vegetarian,Moderate,High,Frequent,Occasional,High,Married with kids,4,Dog,Married,Kids,Good,None,Good,Insured,Excellent,Democratic,Regular,Moderate
Male,45,1975-12-12,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached House,10 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Owner,Caucasian,English,Christianity,Western,Citizen,"Reading, Hiking, Traveling",Online Shopping,Non-Vegetarian,High,High,International Travel Once a Year,"Occasional Alcohol, Non-Smoker",High,Married with two kids,4,One Dog,Married,Children,Excellent,None,Good,Private Insurance,Excellent,Democrat,Regular Voter,Moderate
Female,45,1976-02-14,Married,Heterosexual,American,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christianity,Traditional American,Citizen,"Reading, Golf","Online, High-End Brands",Balanced Diet,Moderate,High,"International, once a year","Social drinker, Non-smoker",High,Married with two kids,4,Two Dogs,Married,Parents,Good,None,Good,Insured,Easy accessibility,Democratic Party,Regular Voter,Moderate
Male,40,1982-01-01,Married,Straight,American,United States,California,San Francisco,Urban,Single Family Home,10 years,Master's Degree,Business,Business Owner,High,Upper Middle,Full-time,Own,Caucasian,English,Christianity,Western,Citizen,"Travelling, Reading, Cycling",Online,Balanced Diet,Active,High,Frequently for business,"Moderate Alcohol, No Tobacco",High,Married with two kids,4,One dog,Married,Children,Good,None,Good,Insured,Regular Access,Democrat,Votes in most elections,Moderately Engaged
Male,45,1976-05-12,Married,Heterosexual,American,United States,New York,New York City,Urban,Detached house,15 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Owner,Caucasian,English,Christianity,Western,Native Born,"Running, Reading Business Books","Online, High-End Brands",Healthy,High,High,International for business,"Moderate Alcohol, No Tobacco",High,Married with two kids,4,Dog,Married,Two children,Good,None,Healthy,Covered,Good,Independent,Active,Occasionally active
Male,45,1976-01-01,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Own,White,English,Christianity,Western,Citizen,"Golf, Reading, Hiking",Online,Balanced,High,High,Frequently,"Drink socially, Non-smoker",High,Married with Children,4,One Dog,Married,Children,Good,None,Good,Insured,Easy access,Democrat,Regular,Active
Male,45,02/02/1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached House,15 years,Master's Degree,Business,Management,High,Upper-middle Class,Full-time,Owner,Caucasian,English,Christianity,Celebrates national and religious holidays,Native Born,"Golf, Reading Business Journals","Online, High-end Brands",No Special Diet,Active,High,International trips once a year,"Occasional Alcohol, No Tobacco",High,Wife and two kids,4,One Golden Retriever,Married,Children,Good,None,Stable,Insured,Good,Republican,Regular Voter,Active
Male,45,1976-08-23,Married,Heterosexual,American,United States,California,San Francisco,Urban,House,15 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Own,White,English,Christian,Western,Citizen,"Travelling, Reading, Golf",Online,Balanced Diet,Active,High,Business and Leisure Trips,"Occasional Alcohol, Non-smoker",High,Married with two kids,4,Dog,Married,Children,Good,No,Stable,Insured,Excellent,Democratic,Regular Voter,Moderate
Male,55,1966-08-15,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Owned,20 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Home Owner,Caucasian,English,Christianity,Western Culture,Native Born,"Reading, Travelling","Online, Luxury Brands",Non-Vegetarian,Moderate,High,Frequent,"Moderate Alcohol, Non-smoker",High,Married with two children,4,Dog,Married,Parents,Good,None,Good,Insured,Good,Democrat,Regular Voter,Moderate
Male,45,1976-04-12,Married,Heterosexual,American,USA,California,San Francisco,Urban,House,10 years,Master's Degree,Marketing,Management,High,Upper middle,Full-time,Owner,White,English,Atheist,Occasional cultural festivals,Citizen,"Reading, Cycling, Gardening",Online Shopping,Non-vegetarian,Regularly active,High,"Frequent domestic travels, occasional international travels","Moderate Alcohol, No Tobacco",High,Nuclear family,4,1 dog,Married,Engaged in parenting,Good,None,Good,Insured,Good access,Democrat,Regularly votes,Moderately engaged
Male,45,1975-05-10,Married,Heterosexual,American,United States,California,San Francisco,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Protestant,Typical American Lifestyle,Citizen,"Traveling, Reading, Golf","Online, High-End Brands",Balanced,Moderate,High,Monthly,"Occasional Alcohol, Non-smoker",High,Married with 2 kids,4,Dog,Married,Children,Good,None,Good,Insured,Private Healthcare,Independent,Regular Voter,Moderate
Male,45,1976-05-01,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached house,15 years,Master's Degree,Business,Business Owner,High,Upper-middle class,Full-time,Own,White,English,Christianity,Western,Citizen,"Running, Reading",Online shopping,Balanced diet,Regular Exercise,High,Often for work,Occasionally drinks alcohol; does not smoke,High,Spouse and 2 children,4,1 dog,Married,Parents occasionally,Good,None,Good,Insured,Good,Democratic Party,Regular voter,High
Male,45,1976-04-12,Married,Straight,American,United States,California,Los Angeles,Urban,House,10 years,Bachelor's Degree,Business,Management,High,Upper Middle,Full-time,Own,White,English,Christianity,Western,Citizen,"Reading, Golfing",Online,Non-Vegetarian,Active,High,Frequent,"Occasional Alcohol, Non-smoker",High,Married with Children,4,Dog,Married,Children,Good,None,Healthy,Insured,Good,Republican,Regular,Active
Male,38,1983-04-12,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached house,10 years,Master's Degree,Business,Management,High,Upper middle,Full-time,Own,White,English,Christianity,Western,N/A,"Reading, Traveling",Online,Non-vegetarian,High,High,Frequent,"Occasional Alcohol, No Tobacco",High,Married with children,4,Cat,Married,Children,Good,None,Good,Insured,Easy access,Democratic,Regular,Active
Female,45,02/13/1976,Married,Straight,American,USA,California,Los Angeles,Urban,House,15 years,Master's Degree,Marketing,Research Head,High,Upper middle class,Full-time,Owner,Caucasian,English,Catholic,Celebrates national and religious holidays,Citizen,"Reading, Cooking","Online, High-end stores",Balanced diet,Moderate activity,High,Domestic and international trips,"Occasional drinker, non-smoker",High,Married with two kids,4,Has a Dog,Married,Children,Healthy,None,Stable,Private,Full access,Democrat,Regular voter,Active
Female,45,1976-02-12,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Own house,15 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Yes,Caucasian,English,Christian,Modern/Western,Citizen,"Reading, Traveling, Gardening","Online shopping, High-quality brands",Non-Vegetarian,Moderate,High,Bi-Yearly international trips,"Occasional alcohol, No tobacco",High,Husband and two children,4,One dog,Married,Kids and Elderly Parents,Healthy,None,Good,Insured,Good,Democratic Party,Frequent voter,Moderate
