Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement
Male,45,1976-06-21,Married,Heterosexual,American,USA,New York,New York,Urban,Apartment,10 years,Master's Degree,Marketing,Business Owner,High,Upper-middle class,Full-time,Owner,White,"English, Spanish",Christian,Typical American Practices,Non-immigrant,"Reading, Cycling",Online Shopping,Non-vegetarian,Active,High,Frequent Domestic Travel,"Social Drinker, Non-smoker",High,Married with 2 kids,4,Dog,Married,Children,Good,None,Healthy,Insured,Good,Democratic,Regular voter,Active
Male,45,07/30/1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Management,"Over $120,000",Upper-middle Class,Full-time,Rent,Caucasian,"English, Spanish",Agnostic,Western,Citizen,"Reading, Traveling",Online,Balanced,Moderate,High,Frequent,"Social drinker, Non-smoker",High,"Spouse, two children",4,Dog,Married,Children,Good,None,Stable,Insured,No issues,Democrat,Regularly Votes,Moderate
Male,45,1976-07-21,Married,Straight,American,United States,New York,New York City,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Yes,Caucasian,English,Catholic,Traditional American,Native Born,"Reading, Fishing",Online Shopping,Non-vegetarian,Moderate,High,Domestic Traveler,"Occasional Alcohol, Non-smoker",High,Married with 2 kids,4,Dog,Married,No,Good,No,Normal,Yes,Good,Republican,Active,Active
Male,45,05/06/1976,Married,Heterosexual,American,United States,New York,New York City,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper,Full-time,Rented,White,English,Christianity,Western,Citizen by Birth,"Reading, Traveling, Golfing",Online Shopping,No dietary restrictions,Moderate,High,Regular International Travel,"Occasional Alcohol, Non-smoker",High,Married with Children,4,Dog,Married,Child Care,Good,None,Good,Insured,Excellent,Democratic Party,Regular Voter,Moderate
Male,45,1976-01-15,Married,Heterosexual,American,United States,New York,New York City,Urban,Detached House,10,Master's Degree,Business,Management,High,Upper Middle,Full-time,Own,Caucasian,English,Christianity,Western,Native Born,"Traveling, Reading, Investing",Online,No Special Diet,Moderate,High,International,"Alcohol-Occasionally, Tobacco-Never",High,Married with Children,4,Two Dogs,Married,Two Children,Healthy,None,Healthy,Insured,Regular Checkups,Democrat,Regular Voter,Moderate
Male,45,10/14/1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Single-family home,15 years,Master's Degree,Business,Management,High,Upper Middle,Full-time,Owner,Caucasian,"English, Spanish",Christian,Traditional American,N/A,"Golf, Reading, Traveling",Online shopping,Balanced diet,Active,High,Regular domestic and international travel,"Moderate alcohol, No tobacco",High,2 children,4,Dog,Married,N/A,Good,N/A,Stable,Insured,Good,Democratic Party,Regular voter,Active
Male,45,1976-01-01,Married,Heterosexual,American,USA,California,Los Angeles,Urban,House,15 years,Bachelor's Degree,Business,Business Owner,High,Upper class,Full-time,Owner,White,English,Christianity,Western culture,Native born,"Reading, Golfing","Online, Luxury brands",Non-vegetarian,Active,High,Travel once in three months,"Occasional alcohol, Non-smoker",High,Married with two children,4,One dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular Voter,Moderate
Male,45,1976-06-10,Married,Heterosexual,American,United States,California,San Francisco,Urban,Single Family Home,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christian,Christian Festivals,Native Born,"Traveling, Golf",Online Shopping,Non-vegetarian,Active,High,International Traveler,"Occasional Drinker, Non-Smoker",High,Spouse and Two Children,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Active Voter,Moderately Active
Male,45,1976-08-22,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper-middle Class,Full-time,Own,White,English,Christian,Western culture,Citizen,"Boating, Golfing",Online,Non-vegetarian,Active,High,Frequent,"Moderate drinker, Non-smoker",High,Married with two children,4,Dog,Married,Children,Good,None,Healthy,Insured,Regular,Democrat,Regular,Moderate
Male,45,1975-08-05,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Detached house,10 years,Master's Degree,Business Management,Business Owner,High,Upper Middle Class,Full-time,Own,Caucasian,English,Christian,Western culture,Native Born,"Reading, Golfing, Traveling",Online Shopping,Non-Vegetarian,Active,High,"Frequent traveler, Business and Leisure","Occasional Wine, Non-Smoker",High,Married with 2 children,4,Has a Dog,Married,Children,Healthy,None,Good,Insured,Easily accessible,Independent,Regular Voter,Active
Male,45,1976-01-23,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached house,10 years,Master's Degree,Business,Business Owner,High,Upper middle,Full-time,Own,White,English,Christianity,Christmas and Easter celebrations,Citizen,"Reading, Golf, Travelling","Luxury brands, online shopping",Balanced diet,High,High,Recreational travel twice a year,"Occasional social drinker, Non-smoker",High,Married with two children,4,One dog,Married,Children,Good,None,Good,Private health insurance,Good,Republican,Regular voter,Low interest
Male,47,1974-10-17,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Single-Family House,15 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Protestant,Western,N/A,"Reading, Golfing",Online,Non-Vegetarian,Moderate,High,Frequent Traveler,"Moderate Alcohol, No Tobacco",High,Married with Children,4,One Dog,Married,Parent,Good,No,Good,Insured,Excellent,Liberal,Regular Voter,Active
Male,40,1982-10-14,Married,Straight,American,USA,California,Los Angeles,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Own,Caucasian,English,Christianity,Traditional American,Citizen,"Reading, Travelling",Online,Non-Vegetarian,High,High,Frequent,Occasional,High,Wife and two children,4,Dog,Married,Children,Good,None,Good,Insured,Easy access,Democrat,Regular,Moderate
Male,45,07-11-1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Condominium,10 years,Master's Degree,Business,Business Owner,High,Upper-middle,Full-time,Owner,Caucasian,English,Catholic,Western,Citizen,"Reading, Traveling",Online,No specific diet,Moderate,High,Frequent,"Occasional alcohol, No tobacco",High,Married with two children,4,One dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular voter,Moderate
Male,40,05/01/1981,Married,Straight,American,USA,California,San Francisco,Urban,Detached House,10 Years,Master's Degree in Business Management,Business,Management,"Above $100,000",Upper Class,Full-time,Owner,White,English,Christian,Celebrates national and Christian holidays,Citizen,"Reading, Mountain Biking, Photography","Online and In-person, Prefers high quality products",Balanced Diet,Engages in sports 2-3 times a week,High,Travels abroad for vacation twice a year,"Occasional Alcohol, No Tobacco","High, uses smart home devices and high-end tech products",Married with two kids,4,Dog,Married,Kids,Good,None,Good,Insured,"Good, has a regular family doctor",Democratic Party,Regularly Participates,Moderate
Male,45,1975-08-21,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached Single Family,10 years,Bachelor's Degree,Business,Management,High,Upper Middle Class,Full-time,Own,White,English,Christianity,Western Culture,Non-Immigrant,"Reading, Golfing",Online Shopping,Non-Vegetarian,Active,High,Regular International Travel,"Occasional Alcohol, No Tobacco",High,Married with children,4,Dog,Married,Children,Good,None,Good,Insured,Easy Access,Democrats,Regular Voter,Occasionally Involved
Male,40,1981-01-15,Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,6 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Rented,Caucasian,English,Non-religious,Western,Citizen,"Reading, Traveling",Online shopping,Vegetarian,Medium,High,International,"Occasional drinker, Non-smoker",High,Married with children,4,One dog,Married,Children,Good,None,Good,Insured,Easy access,Democratic Party,Regular voter,Active
Male,45,1976-03-16,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Single Family Home,15 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christianity,Western,Native Born,"Hiking, Reading, Golfing",Online,Non-Vegetarian,Active,High,Frequent international trips,"Social Drinker, Non-smoker",High,Spouse and 2 children,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular Voter,Moderate
Male,45,09/10/1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached house,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owner,Caucasian,English,Agnostic,Western,Native Born,"Reading, Traveling, Music",Online shopping,Balanced diet,High,Moderate,Frequent international travel,"Social drinker, non-smoker",High,Married with 2 kids,4,Dog,Married,Children,Excellent,None,Good,Insured,Easy access,Democrats,Regularly votes,Active
Male,45,1976-07-10,Married,Heterosexual,American,United States,Texas,Dallas,Urban,Apartment,15 years,Master's Degree,Business,Business Owner,High,Upper class,Full-time,Owner,White,English,Christianity,Attends Church weekly,Citizen,"Golf, Reading",Online Shopping,Non-Vegetarian,Active,High,Frequent domestic travels,"Occasional Alcohol use, Non-smoker",High,Married with children,4,Has a dog,Married,No,Fit,None,Healthy,Insured,Excellent access,Democrat,Regular voter,Active
Male,45,1976-04-12,Married,Straight,American,United States,California,San Francisco,Urban,Detached house,15 years,Master's Degree,Business Administration,Management,High,Upper Middle Class,Full-time,Owner,White,English,Christianity,Celebrates major American holidays,N/A,"Golf, Reading, Travel","Online, High-end retailers",Non-Vegetarian,Active,High,Frequently for work and leisure,"Occasional drinker, non-smoker",High,Married with two children,4,Dog,Married,Children,Excellent,N/A,Excellent,Insured,Easy access,Democratic,Active,Moderate
Female,45,09/05/1976,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Condominium,10 Years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owner,Caucasian,"English, Spanish",Christian,"Christian Holidays, Business Networking Events",Citizen,"Reading, Yoga, Travel, Cooking","Online, High-End Brands",Balanced Diet,Moderate,Moderate to High,Business Oriented with Recreational Travel Twice a Year,"Social Drinker, Non-Smoker",High,"Spouse, Two Children",4,One Dog,Married,Children,Good,None,Good,Insured,High,Democrat,Regular Voter,Active
Male,45,1976-08-25,Married,Heterosexual,American,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Owner,Caucasian,English,Christian,Western,Citizen,"Golf, Reading, and Traveling",Online Shopping,Balanced Diet,Active,High,Frequent,"Occasional Alcohol, No tobacco",High,Married with children,4,Dog,Married,Children,Good,None,Good,Insured,Immediate,Democratic Party,Always Votes,Active
Male,42,1979-09-05,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Detached house,15 years,Master's Degree,Business,Business Owner,High,Upper-Middle-Class,Full-time,Owner,Caucasian,English,Christian,American/Western,Citizen,"Yoga, Reading, Golf",Online Shopping,Non-Vegetarian,Active,High,International travel 2-3 times a year,"Light drinker, Non-smoker",High,Married with two kids,Four,Dog,Married,Two Children,Good,None,Excellent,Insured,Good,Democratic Party,Regular Voter,Active
Female,45,1975-05-20,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Detached house,10 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Own,Caucasian,"English, Spanish",Catholic,"Christmas, Easter, Thanksgiving celebrations",Citizen,"Reading, Travelling, Yoga",Online,Non-vegetarian,High,High,International travel 2 times a year,"Social alcohol drinker, Non-smoker",High,Married with 2 children,4,Dog,Married,Children,Healthy,None,Good,Insured,Easy,Democrat,Regular Voter,Active
Male,45,1976-01-30,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Mortgage,Caucasian,English,Christian,American Culture,Native Born,"Reading, Golfing",Online Shopping,Non-Vegetarian,Moderate,High,Frequent Domestic Travel,"Occasional Alcohol, No Tobacco",High,Married with 2 Kids,4,One Dog,Married,Children,Good,None,Good,Insured,Regular,Democratic,Regular Voter,Moderate
Male,45,1976-06-12,Married,Heterosexual,American,USA,California,San Francisco,Urban,House,10 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Own,White,English,Christian,Traditional American,Native born,"Reading, Traveling",Online shopping,Non-vegetarian,Moderate,High,Frequent,"Occasional alcohol, No tobacco",High,Married with two children,4,Dog,Married,Children,Good,None,Good,Insured,Excellent,Democrat,Active,Occasionally active
Male,45,01/06/1976,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached House,10 years,Master's Degree,Business,Business Owner,High,Upper Middle,Full-time,Own,White,English,Christianity,Western,Citizen,"Reading, Traveling, Hiking",Online,Non-Vegetarian,Active,High,Frequently,"Occasional alcohol, no tobacco",High,Married with two kids,4,Dog,Married,Children,Good,None,Good,Insured,Good,Independent,Regular Voter,Moderate
Male,45,1976-02-15,Married,Heterosexual,American,United States,California,San Francisco,Urban,House,15 years,Master's Degree,Business,Business Owner,High,Upper Middle,Full-time,Owned,White,English,Christian,Western Culture,Citizen by Birth,"Reading, Investing",Online,Non-Vegetarian,Moderate,High,Business travel,"Occasional alcohol, no tobacco",High,Married with two children,4,One dog,Married,Two young children,Good,No,Good,Insured,Good,Independent,Regular Voter,Moderate
Male,45,1975-12-19,Married,Straight,American,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christian,"Christmas traditions, celebrates national holidays",N/A,"Music, Reading Business Digest","Online shopping, Brand conscious",Non-Vegetarian,Active,High,Business Traveller,"Occasional Alcohol, No Tobacco",High,Married with two children,4,Owns a dog,Married,Children,Healthy,None,Stable,Insured,Great,Democrat,Regular Voter,Occasional
Male,45,1975-08-30,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Private house,15 years,Master's Degree,Business Administration,Management,High,Upper-middle class,Full-time,Homeowner,Caucasian,English,Christianity,Western,Born in USA,"Golfing, Chess, Music",Online shopper,Non-vegetarian,Active,High,Frequent traveller,"Moderate drinker, non-smoker",High,Wife and two children,4,Has a dog,Married,None,Good,None,Good,Insured,Full access,Democratic Party,Regular voter,Active
Male,45,1976-05-14,Married,Heterosexual,American,USA,New York,New York City,Urban,Townhouse,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christian,"Attends Christmas, Easter religious services,",Citizen,"Reading, Traveling, Golfing","Online shopping, Luxury brands","Non-vegetarian, Low carb",Active,High,Travels 4 times a year,"Moderate drinker, Non-smoker",High,Married with 2 children,4,Owns a dog,Married,Children,Good,None,Good,Insured,"Private insurance, regular checkups",Democrat,Regular Voter,Moderate
Female,45,01/01/1977,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Detached House,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christian,Western,Citizen,"Reading, Running",Online,Vegetarian,High,High,Frequent,"Occasional Alcohol, No Tobacco",High,Married with 2 children,4,1 Dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular voter,High
Male,45,01/01/1977,Married,Heterosexual,American,USA,California,San Francisco,Urban,Condominium,15 years,Master's Degree,Business,Management,High,Upper class,Full-time,Homeowner,Caucasian,English,Christianity,Western,Native Born,"Mountain Biking, Reading Business Journals",Online Shopping,Normal diet,Active,High,Frequent Business trips,"Drinks Alcohol occasionally, Non-smoker",High,Married with two children,4,One dog,Married,Children,Healthy,None,Healthy,Insured,Regular Checkups,Democrat,Always votes,Active
Male,45,1976-09-12,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Own,Caucasian,English,Christianity,American,Not an Immigrant,"Golfing, Reading, Traveling",Online shopping,None,Moderate,Moderate to High,International once a year,"Occasional drinker, non-smoker",High,Married with 2 kids,4,Has a dog,Married,None,Good,None,Good,Insured,Access without issues,Democrats,Always votes,Active
Male,45,1976-06-10,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Single Family House,15 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Own,White,English,Christianity,Traditional American,Citizen,"Reading, Travelling",Online Shopping,Balanced Diet,Moderate,High,Once a year,"Occasional Alcohol, Non-smoker",High,Married with 2 kids,4,Dog,Married,Children,Good,none,Good,Insured,Routine Check-ups,Democratic Party,Regular voter,Active
Male,45,1976-08-10,Married,Heterosexual,American,United States,California,San Francisco,Urban,House,15 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Own,Caucasian,English,Non-religious,Western,Citizen,"Reading, Golf, Investing","Online, High-End Brands",Balanced,Moderate,High,Business and Leisure Travels frequently,"Alcohol socially, No tobacco",High,Married with 2 children,4,Dogs,Married,None,Excellent,None,Healthy,Insured,Excellent,Independent,Regular,Occasional Volunteer
Male,48,1973-01-15,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Detached house,15 years,Master's Degree,Business,Management,High,Upper middle,Full-time,Own,Caucasian,English,Christian,Traditional American,Citizen,"Golf, Reading","Online, Brand Conscious",Non-vegetarian,Moderate,High,"Frequent, Business and Leisure","Occasional alcohol, No tobacco",High,Married with 2 kids,4,One dog,Married,Children,Good,None,Good,Insured,Good,Republican,Regular,Moderate
Male,45,1976-05-12,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Individual House,10 years,Master's Degree,Business,Business Owner,High,Upper Middle,Full-time,Own,White,English,Christian,"Christmas, Thanksgiving",Non-immigrant,"Golf, Reading Business Journals","Online shopping, Brand conscious",Non-Vegetarian,Regular Exercise,High,Frequent Business Travel,"Occasional Alcohol, No Tobacco",High,Married with 2 children,4,Own a Dog,Married,Children,Good,None,Good,Insured,Good,Republican,Regular Voter,Moderately Engaged
Male,45,1976-01-01,Married,Heterosexual,American,United States,New York,New York City,Urban,Private house,15 years,Master's Degree,Marketing,Management,High,Upper class,Full-time,Own,White,English,Christian,Western,Citizen,"Golf, Reading, Travelling",Online shopping,Non-vegetarian,High,High,Frequent business travel,"Occasional alcohol, non-smoker",High,Married with two kids,4,Dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Active,Frequently engaged
Male,55,1965-01-12,Married,Heterosexual,American,USA,New York,New York City,Urban,House,10 years,Master's Degree,Business,Management,High,Upper middle,Full-time,Own,Caucasian,English,Christian,Attends Church,Citizen,"Golfing, Reading, Traveling",Online,No restrictions,High,High,Business and Leisure,"Moderate alcohol, No tobacco",High,Married with two children,4,One dog,Married,None,Good,None,Good,Insured,Easy,Democrat,Regularly votes,High
Female,45,1975/01/01,Married,Straight,American,USA,California,San Francisco,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper,Full-time,Owner,Caucasian,English,Catholic,"Christmas, Thanksgiving",Citizen,"Traveling, Reading, Art",Online Shopping,Balanced diet,Moderate,High,Travel for both work and vacation,"Occasionally drinks, does not smoke",High,Married with 2 children,4,Has a dog,Married,Caring for 2 children,Healthy,None,Healthy,Insured,Has regular check ups,Democrat,Votes in all elections,Moderate
Male,45,1976-01-15,Married,Straight,American,USA,California,Los Angeles,Urban,Condo,10 years,Master's Degree,Business,Management,High,Upper-middle,Full-time,Own,Caucasian,English,Christian,Western,Citizen,"Golf, Reading, Stock Market","Online, Luxury",Balanced,Moderate,High,Frequently,"Social Drinker, Non-Smoker",High,Married with two children,4,Dog,Married,Children,Good,None,Good,Covered,Excellent,Democratic,Regular Voter,Moderate
Male,45,1975-06-12,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Detached House,15 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owner,Caucasian,English,Christianity,Western,Citizen,"Golf, Reading",Online,omnivorous,Active,High,Frequent,"Moderate Alcohol, No Tobacco",High,Married with 2 children,4,1 dog,In a relationship,Children,Good,None,Good,Insured,Good,Democrat,Regular Voter,Active
Male,45,1976-07-22,Married,Heterosexual,American,United States,California,San Francisco,Urban,Detached house,10 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Own,Caucasian,English,Christianity,American Culture,Native Citizen,"Reading, Golfing, Traveling",Online Shopping,"Healthy, Balanced Diet",(Above) Moderate,High,Thrice a Year,"Occasional Alcohol, Non-smoker",High,Married with two kids,4,Dog,Married,Kids,Good,No,Good,Insured,Regular,Democratic,Regular voter,Active
Male,45,1976-08-25,Married,Heterosexual,American,United States,California,San Francisco,Urban,Apartment,5 years,Master's Degree,Business,Business Owner,High,Upper middle,Full-time,Owned,Caucasian,English,Christianity,Western Culture,Citizen,"Reading, Golf, Traveling",Online shopping,Non-vegetarian,Moderate,High,Frequent,"Alcohol - moderate, Tobacco - none",High,Spouse and 2 children,4,1 dog,Married,Children,Good,None,Good,Covered,Excellent,Independent,Regularly,Moderate
Male,45,1976-01-01,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Single Family Home,15 years,Master's Degree,Business,Management,High,Upper-middle,Full-time,Owner,White,English,Christian,Traditional American,Born in the USA,"Reading, Golfing",Online Shopping,Non-vegetarian,Moderate,High,Regular Traveler,"Occasional Alcohol, No Tobacco",High,Married with 2 Children,4,Dog,Happily Married,Parenting,Good,None,Good,Private Insurance,Easily Accessible,Democratic,Regular Voter,Moderate
Male,40,1981-02-21,Married,Heterosexual,American,USA,California,San Francisco,Urban,Condominium,10 years,Master's Degree,Business,Management,High,Upper-Middle Class,Full-time,Owned,Caucasian,English,Christianity,Celebration of major US holidays,Citizen by Birth,"Reading, Investing, Soccer","Online, High-end brands",Non-Vegetarian,Active,High,Frequent,"Occasional Alcohol, Non-smoker",High,Married with 2 kids,4,One dog,Married,Minor children,Fit,None,Healthy,Covered by Employer,Full Access,Independent,Regular Voter,Moderate
Male,40,1981-04-15,Married,Heterosexual,American,USA,California,Los Angeles,Urban,Detached house,10 years,Master's Degree,Business,Management,High,Upper Middle Class,Full-time,Own,White,English,Christian,Western Cultures,Citizen,"Reading, Golfing",Online,No dietary restrictions,Moderate,Moderate,Occasional,"Occasional alcohol, No tobacco",High,Married with two kids,4,Dog,Married,Kid's education,Good,None,Good,Insured,Regular,Democrat,Active,Semi-active
Male,45,1976-06-15,Married,Heterosexual,American,United States,California,San Francisco,Urban,Single-family home,10 years,Master's Degree,Business,Management,High,Upper Middle,Full-time,Owner,Caucasian,English,Christianity,"Christmas, Thanksgiving and other Christian and national holidays",Native born,"Golfing, Reading about Business and Marketing",Online Shopping,No Special Diet,Moderate,High,Occasional business and leisure traveler,Occasional Alcohol and No Tobacco,High,Married with two kids,4,One dog,Married,Children,Good,None,Healthy,Insured,Full Access,Democratic Party,Regular voter,Moderate
