Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement,Age:,Gender:,Occupation:,Do you currently use a fitness tracker?,"If yes, which brand/model of fitness tracker do you use?",What features do you most value in a fitness tracker?,"At a price of $50, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $100, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $150, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $200, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $250, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $300, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $350, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $400, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $500, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $600, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)"
Male,29,1994-05-15,In a Relationship,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,2 years,Bachelor's Degree,Computer Science,Software Developer,"£70,000",Middle class,Full-time,Renting,Caucasian,"['English', 'Spanish']",Agnostic,Occasional cultural events,Citizen,"['Fitness', 'Wellness', 'Gadgets', 'Mobile App Development']","Online, eco-friendly products","Balanced diet, low in processed foods",High,High,"Annual international holidays, Weekend city breaks","Social drinker, Non-smoker","Advanced, early adopter of new tech","Oldest sibling, single child at home",2 persons,One pet dog,Dating,None,Excellent,No disabilities or chronic illnesses,"Good, occasionally practices meditation and mindfulness",Private health insurance,Easy access to healthcare facilities,Independent,Regular voter,Somewhat engaged,29,Male,Software Developer,Yes,Fitbit Versa 2,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications', 'Battery life']",8,7,7,6,5,5,5,4,3,2
Female,35,1988-04-12,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Master's degree,Computer Science,Software Developer,£65000,Middle class,Full-time,Renting,Caucasian,English,Atheist,None,Citizen,"Yoga, running, blogging about tech","Online, preference for high-tech gadgets and sportswear",Predominately plant-based,High,High,"Enjoys travel, typically has 2-3 international trips a year","Social drinker, non-smoker","Heavy (uses smart home devices, wearables, and latest smartphones)",Oldest of three siblings,2 (includes a flatmate),No pets,In a relationship,None,Excellent,None,Good,Private health insurance,Excellent access,Liberal,Regular voter,Occasionally attends local town hall meetings,35,Female,Software Developer,No,I do not use a fitness tracker.,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",9,9,8,7,6,7,8,5,4,2
female,29,1993-05-14,single,heterosexual,British,United Kingdom,England,London,urban,flat,2 years,Bachelor's Degree,Computer Science,Software Engineer,£70000,middle class,full-time,renting,Caucasian,['English'],agnostic,none,citizen,"['yoga', 'jogging', 'gaming', 'reading technology blogs']","['online', 'ethical brands']","omnivorous, with a preference for healthy foods",high,high,1-2 international trips a year,"social drinker, non-smoker","heavy user of smartphones, laptops, and smart home devices","single, no children","1, living alone",one cat,single,none,excellent,none,good,privately insured,good,moderately liberal,always votes,occasionally engages in local community events,29,Female,Software Engineer,No,I do not use a fitness tracker.,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications']",8,7,7,6,5,4,5,5,4,2
Female,35,1988-06-15,Married,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Master's Degree,Biomedical Sciences,Healthcare Consultant,£70000,Middle Class,Full-time,Rents,White,English,Agnostic,Enjoys traditional UK festivities like Christmas and Bonfire Night,Citizen by birth,"['Yoga', 'Running', 'Smart Home Technology']",Prefers online shopping; frequents health and technology shops,Mostly plant-based with occasional fish,High,High – Active on Instagram and Twitter,Enjoys European city breaks typically twice a year,Social drinker; non-smoker,Early adopter; frequently updates gadgets,Lives with spouse and no children,2 people,Has a dog,Married without children,None outside own immediate family,Excellent,No reported disabilities or chronic illness,Stable and participates in proactive wellness activities,Has private health insurance,Has routine access to healthcare services and wellness programs,Centrist,Regular voter,Occasionally engages in community issues related to health,35,Female,Healthcare Consultant,No,,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Battery life']",8,7,9,8,6,5,4,6,3,5
Female,28,1994-06-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,3 years,Bachelor's Degree,Computer Science,Software Developer,£65000,Upper Middle Class,Full-time,Renting,Caucasian,English,Agnostic,Attends local food and technology fairs,Citizen,"Yoga, Running, Gadgets, Coding, E-Sports","Online Retailers, Tech Stores, Sportswear Brands","Balanced diet, Protein-rich",High,High,Frequent European getaways,"Social drinker, non-smoker","High daily usage of smartphone, laptop, and smart home devices",Oldest of two siblings,Lives alone,One dog,In a relationship,None,Excellent,None,"Good, occasional stress",Private health insurance,Nearby general practice and private health clinic,Liberal,Regular voter,"Registered with a political party, active in local campaigns",28,Female,Software Developer,No,,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",8,9,7,6,5,6,5,5,5,3
Female,28,1994-06-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,2 years,Bachelor's Degree,Computer Science,Software Developer,£65000,Middle class,Full-time,Renting,White British,English,None,None,N/A,"['Yoga', 'Running', 'Fitness Apps', 'Gadgets']","['Online shopping', 'Electronics', 'Sportswear']",['Balanced Diet'],High,High,['Occasional international travel for leisure'],"Occasional Alcohol Consumption, No Tobacco",Heavy technology user for both professional and personal life,['Single'],1,['None'],Single,['None'],Excellent,['None'],Good,Private Healthcare,Good,Liberal,Regular Voter,Moderately Engaged,28,Female,Software Developer,No,I do not use a fitness tracker.,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications']",7,8,9,7,6,5,4,6,6,5
Female,35,1988-06-12,Married,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Master's degree,Computer Science,Software Developer,£65000,Middle class,Full-time,Renting,Caucasian,English,Agnostic,None,Citizen,"Running, Yoga, Coding, Gaming","Online, Sustainable Brands",Pescatarian,High,"High (Regularly uses Facebook, Twitter, Instagram)","Annual international travel, frequent domestic trips","Social drinker, Non-smoker",Enthusiast and early adopter,Partner and no children,2 persons,One dog,In a long-term relationship,None,Excellent,None,Stable,Private health insurance,Very good,Liberal/Democrat,Regular voter,Occasionally engages in political discussions,35,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation']",8,7,6,9,7,6,5,5,3,2
Female,29,1994-06-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Flat,3 years,Bachelor's degree,Computer Science,Software Engineer,"
£70000",Middle class,Employed full-time,Rents,Caucasian,English,Agnostic,Celebrates traditional UK holidays,Citizen,"Running, Yoga, Gaming, Reading tech blogs",Prefers shopping online and organic products,Omnivorous with a focus on health-conscious foods,High,High,Enjoys traveling abroad twice a year,"Social drinks, does not use tobacco","High usage of smartphones, laptops, and smartwatches",Oldest sibling with two younger brothers,2 (Including a flatmate),No pets,In a long-term relationship,None,Excellent,None,Good,Private health insurance,Good access to healthcare facilities,Liberal,Regular voter,Occasionally attends local political events,29,Female,Software Engineer,Yes,Apple Watch Series 6,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",8,9,7,6,5,4,3,2,1,3
Female,28,1994-07-14,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,3 years,Bachelor's degree,Computer Science,Software Developer,£65000,Middle class,Full-time,Renting,White British,English,Agnostic,"Celebrates national holidays, attends technology meetups",Citizen,"Yoga, running, coding, gadget collecting","Online, prefers brands focused on sustainability",Balanced diet with an emphasis on organic produce,High,High,"Annual international travel, frequent weekend trips within the UK","Social drinker, non-smoker","Early adopter, frequently updates gadgets",Only child,1 person,No pets,In a relationship,None,Excellent,None,Very Good,Private health insurance,Excellent,Liberal/Democrat,Regular voter,"Moderate (social media awareness, periodical local activism)",28,Female,Software Developer,Yes,Fitbit Versa 2,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation']",8,8,7,6,5,4,3,2,1,4
Female,28,1994-04-16,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,4 years,Bachelor's Degree,Computer Science,Software Engineer,£65000,Middle class,Full-time,Renting,White,English,Agnostic,None,Citizen,"Yoga, Running, Gadgets, App Development","Online shopping, Ethical products",Vegetarian,High,High,"Annual international travel, frequent domestic trips","Social drinker, non-smoker",Early adopter,Eldest of two siblings,1,None,In a relationship,None,Excellent,None,Good,Private healthcare,Good,Liberal,Regular voter,Follows news and sometimes attends local community meetings,28,Female,Software Engineer,No,,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation']",9,8,7,6,5,4,2,7,2,4
